ID,Source Row,Content Category Name,URL,Priority,Issue/Fix,Notes,Scope,Workstream,Status,Evidence,Tracking Issue,Content File,Drupal NID,Audit Flags
TH-001,2,Many content areas,,Medium,thumbnail image transferred while the main content image did not,,Global,Images,Open,Fallback protects rendering; source image recovery still requires audit.,https://github.com/chnm/teachinghistory-hugo/issues/23,,,
TH-002,3,Many content areas,,High,fix link issues,multi step process decided on elsewhere. putting it here to have a box to check,Global,Audit,Needs verification,Dead-link remediation landed in PR #18; verify the remaining scope.,https://github.com/chnm/teachinghistory-hugo/issues/24,,,
TH-003,4,Many content areas,,High,fix videos,Moving video files to YouTube and make sure all pages with videos are working properly,Global,Video,In progress,Existing video audit work is tracked in issue #7.,https://github.com/chnm/teachinghistory-hugo/issues/7,,,
TH-004,5,Lesson Plan Reviews,https://dev.teachinghistory.org/teaching-materials/lesson-plan-reviews/abraham-lincoln-and-the-jews/,Medium,thumbnail image missing,"Content is fine, but it's missing the image for the Lesson Plan Review carousel",Page,Images,Resolved,Broken-image fallback handling merged in PR #18.,https://github.com/chnm/teachinghistory-hugo/issues/23,teaching-materials/lesson-plan-reviews/abraham-lincoln-and-the-jews-25865.md,25865,
TH-005,6,Lesson Plan Reviews,https://dev.teachinghistory.org/teaching-materials/lesson-plan-reviews/decoding-us-foreign-policy-the-iran-contra-affair/,Low,fix pdf button,"pdf button appears but does not work. originally, the button did nothing. Now, the button takes you to a Wayback version of the lesson plan. This seems great because the new button does say ""Download Lesson Plan"". However, this link already exists in the sidebar and the Drupal site button says ""Download Lesson Plan Rubric"" which would be a pdf file. The button should be updated to reflect the drupal site.",Page,Resources,Open,Rubric PDF extraction and labeling are not implemented.,https://github.com/chnm/teachinghistory-hugo/issues/25,teaching-materials/lesson-plan-reviews/decoding-us-foreign-policy-the-iran-contra-affair-25491.md,25491,
TH-006,7,Lesson Plan Reviews,https://dev.teachinghistory.org/teaching-materials/lesson-plan-reviews/25491/,Medium,alter transfer to bring over all sidebar material,"at this url example, the page is missing the features/description section of the sidebar",Page,Resources,Open,Sidebar description/features are absent from the migrated page.,https://github.com/chnm/teachinghistory-hugo/issues/25,teaching-materials/lesson-plan-reviews/decoding-us-foreign-policy-the-iran-contra-affair-25491.md,25491,
TH-007,8,Staff,https://dev.teachinghistory.org/about/staff/,High,"update and add ""About"" text at the top","Add: ""TeachingHistory.org is a comprehensive resource for history educators, providing lesson plans, primary sources, and teaching strategies.

Our Mission
We aim to support teachers in bringing history to life in their classrooms through high-quality educational resources.""",Page,Site chrome,Partial,About/Mission copy exists on About; Staff layout does not render it.,https://github.com/chnm/teachinghistory-hugo/issues/22,about/staff.md,,short_body
TH-008,9,Project Partners,https://dev.teachinghistory.org/about/#partners,High,delete page and link to it at the bottom of the site,,Global,Site chrome,Open,Obsolete footer link remains in the shared footer partial.,https://github.com/chnm/teachinghistory-hugo/issues/22,about/_index.md,,
TH-009,10,Technical Working Group,https://dev.teachinghistory.org/about/#technical,High,delete page and link to it at the bottom of the site,,Global,Site chrome,Open,Obsolete footer link remains in the shared footer partial.,https://github.com/chnm/teachinghistory-hugo/issues/22,about/_index.md,,
TH-010,11,Research Advisors,https://dev.teachinghistory.org/about/#advisors,High,delete page and link to it at the bottom of the site,,Global,Site chrome,Open,Obsolete footer link remains in the shared footer partial.,https://github.com/chnm/teachinghistory-hugo/issues/22,about/_index.md,,
TH-011,12,Blog,https://dev.teachinghistory.org/blog/,Low,"change header to ""Blog"" (it is currently ""Blogs"")",,Page,Site chrome,Open,Blog section title requires a section index override.,https://github.com/chnm/teachinghistory-hugo/issues/22,,,content_not_matched
